ip,ident,user,timestamp,request,status,size
95.108.150.235,-,-,2012-06-21T14:20:28+02:00,GET / HTTP/1.1,200,664
95.108.150.235,-,-,2012-06-21T14:20:28+02:00,GET / HTTP/1.1,200,662
95.108.150.235,-,-,2012-06-21T14:20:29+02:00,GET / HTTP/1.1,200,664
95.108.150.235,-,-,2012-06-21T14:20:29+02:00,GET /robots.txt HTTP/1.1,404,534
95.108.150.235,-,-,2012-06-21T14:20:29+02:00,GET /robots.txt HTTP/1.1,404,537
95.108.150.235,-,-,2012-06-21T14:20:30+02:00,GET / HTTP/1.1,200,666
95.108.150.235,-,-,2012-06-21T14:20:30+02:00,GET / HTTP/1.1,200,667
95.108.150.235,-,-,2012-06-21T14:20:31+02:00,GET / HTTP/1.1,200,666
95.108.150.235,-,-,2012-06-21T14:20:31+02:00,GET / HTTP/1.1,200,667
115.248.154.196,-,-,2012-06-21T14:29:13+02:00,GET /logs/access.log HTTP/1.1,200,25432
115.248.154.196,-,-,2012-06-21T14:29:14+02:00,GET /favicon.ico HTTP/1.1,404,526
220.181.108.91,-,-,2012-06-21T14:34:30+02:00,GET / HTTP/1.1,200,916
178.154.210.252,-,-,2012-06-21T15:13:36+02:00,GET /logs/access.log HTTP/1.1,200,26137
1.202.218.8,-,-,2012-06-21T15:18:18+02:00,GET /robots.txt HTTP/1.0,404,488
123.125.71.16,-,-,2012-06-21T15:33:44+02:00,GET / HTTP/1.1,200,913
220.181.108.123,-,-,2012-06-21T15:34:24+02:00,GET / HTTP/1.1,200,913
123.125.71.34,-,-,2012-06-21T15:39:58+02:00,GET /robots.txt HTTP/1.1,404,468
123.125.71.105,-,-,2012-06-21T15:39:58+02:00,GET /robots.txt HTTP/1.1,404,470
123.125.71.105,-,-,2012-06-21T15:39:58+02:00,GET /robots.txt HTTP/1.1,404,465
123.125.71.115,-,-,2012-06-21T15:39:58+02:00,GET /robots.txt HTTP/1.1,404,470
207.210.234.226,-,-,2012-06-21T15:50:55+02:00,GET /robots.txt HTTP/1.0,404,468
207.210.234.226,-,-,2012-06-21T15:50:55+02:00,GET / HTTP/1.0,200,625
66.249.72.4,-,-,2012-06-21T15:59:00+02:00,GET /robots.txt HTTP/1.1,404,512
66.249.72.4,-,-,2012-06-21T15:59:00+02:00,GET /logs/ HTTP/1.1,200,726
199.58.86.211,-,-,2012-06-21T16:07:56+02:00,GET /robots.txt HTTP/1.0,404,488
199.58.86.211,-,-,2012-06-21T16:07:59+02:00,GET / HTTP/1.0,200,621
66.249.72.65,-,-,2012-06-21T16:23:53+02:00,GET /robots.txt HTTP/1.1,404,508
1.202.218.8,-,-,2012-06-21T16:55:29+02:00,GET /robots.txt HTTP/1.0,404,492
178.154.210.252,-,-,2012-06-21T16:56:20+02:00,GET /?C=M;O=D HTTP/1.1,200,661
180.76.5.51,-,-,2012-06-21T17:07:38+02:00,GET / HTTP/1.1,200,908
123.125.71.19,-,-,2012-06-21T18:35:54+02:00,GET / HTTP/1.1,200,908
220.181.108.109,-,-,2012-06-21T18:36:23+02:00,GET / HTTP/1.1,200,908
1.202.218.8,-,-,2012-06-21T18:42:54+02:00,GET /robots.txt HTTP/1.0,404,488
180.76.6.26,-,-,2012-06-21T18:44:35+02:00,GET / HTTP/1.1,200,912
161.215.18.51,-,-,2012-06-21T18:49:26+02:00,GET /logs/access.log HTTP/1.1,200,29456
161.215.18.51,-,-,2012-06-21T18:49:27+02:00,GET /favicon.ico HTTP/1.1,404,502
161.215.18.51,-,-,2012-06-21T18:49:27+02:00,GET /favicon.ico HTTP/1.1,404,502
161.215.18.51,-,-,2012-06-21T18:49:27+02:00,GET /favicon.ico HTTP/1.1,404,502
66.249.72.65,-,-,2012-06-21T19:18:21+02:00,GET /logs/ HTTP/1.1,200,718
207.210.234.226,-,-,2012-06-21T19:21:09+02:00,GET /robots.txt HTTP/1.0,404,465
207.210.234.226,-,-,2012-06-21T19:21:11+02:00,GET / HTTP/1.0,200,621
123.125.71.53,-,-,2012-06-21T19:30:33+02:00,GET / HTTP/1.1,200,912
220.181.108.83,-,-,2012-06-21T19:30:49+02:00,GET / HTTP/1.1,200,912
1.202.218.8,-,-,2012-06-21T20:14:52+02:00,GET /robots.txt HTTP/1.0,404,492
123.125.71.46,-,-,2012-06-21T20:34:03+02:00,GET / HTTP/1.1,200,916
220.181.108.75,-,-,2012-06-21T20:34:40+02:00,GET / HTTP/1.1,200,916
220.181.124.140,-,-,2012-06-21T20:51:56+02:00,GET /robots.txt HTTP/1.1,404,473
220.181.124.140,-,-,2012-06-21T20:52:07+02:00,GET / HTTP/1.1,200,625
178.154.210.252,-,-,2012-06-21T20:52:49+02:00,GET /?C=D;O=D HTTP/1.1,200,661
220.181.124.140,-,-,2012-06-21T21:09:30+02:00,GET / HTTP/1.1,200,621
123.125.71.48,-,-,2012-06-21T21:23:36+02:00,GET / HTTP/1.1,200,908
220.181.108.103,-,-,2012-06-21T21:23:51+02:00,GET / HTTP/1.1,200,908
178.154.210.252,-,-,2012-06-21T21:30:16+02:00,GET /?C=S;O=D HTTP/1.1,200,661
1.202.218.8,-,-,2012-06-21T22:03:52+02:00,GET /robots.txt HTTP/1.0,404,488
199.58.86.209,-,-,2012-06-21T22:20:09+02:00,GET /robots.txt HTTP/1.0,404,488
199.58.86.209,-,-,2012-06-21T22:20:11+02:00,GET / HTTP/1.0,200,621
123.125.71.13,-,-,2012-06-21T22:25:18+02:00,GET / HTTP/1.1,200,912
220.181.108.105,-,-,2012-06-21T22:25:33+02:00,GET / HTTP/1.1,200,912
180.76.5.176,-,-,2012-06-21T23:07:17+02:00,GET / HTTP/1.1,200,908
184.107.247.202,-,-,2012-06-21T23:19:28+02:00,GET / HTTP/1.0,200,955
1.202.218.8,-,-,2012-06-21T23:40:48+02:00,GET /robots.txt HTTP/1.0,404,492
119.63.196.59,-,-,2012-06-22T00:11:59+02:00,GET / HTTP/1.1,200,621
95.108.151.244,-,-,2012-06-22T00:41:25+02:00,GET /robots.txt HTTP/1.1,404,525
